,goto,lats,lons,severity,time
2159,True,53.80563602884403,-1.6753171023134177,2,16347
2161,False,53.8040351947603,-1.528666503422645,3,16362
2162,False,53.8040351947603,-1.528666503422645,3,16362
2163,True,53.768654431678236,-1.530003289280059,3,16382
2164,True,53.75699205047055,-1.526493313711878,4,16396
2167,True,53.80673950421389,-1.519327724209133,3,16405
2168,True,53.82203480267729,-1.578502493384095,2,16409
2169,True,53.81606028028775,-1.4995824363899855,2,16432
2170,True,53.802978646569144,-1.5580740366569044,4,16437
2171,True,53.77859059499738,-1.322343781029615,3,16490
2172,True,53.81586520354736,-1.6064957421429817,3,16508
2173,True,53.767479929018805,-1.4805894830289519,3,16525
2174,True,53.770924913984395,-1.557439542886312,4,16551
2175,True,53.7934141950215,-1.6123376327074352,3,16573
2176,False,53.7934141950215,-1.6123376327074352,3,16573
2177,False,53.7934141950215,-1.6123376327074352,3,16573
2178,True,53.802730041712195,-1.5327807159999423,3,16581
2179,True,53.77450579290264,-1.5633347113200862,3,16585
2180,True,53.822600011992165,-1.4134482275092046,4,16589
2181,True,53.82988595984888,-1.4646550347419869,3,16590
2183,False,53.76826834922819,-1.51653556435672,3,16594
2182,True,53.76826834922819,-1.51653556435672,3,16594
2184,True,53.76479084190107,-1.5686235697116975,3,16597
2185,False,53.76479084190107,-1.5686235697116975,3,16597
2186,False,53.76479084190107,-1.5686235697116975,3,16597
2187,False,53.76479084190107,-1.5686235697116975,3,16597
2188,True,53.79422728862183,-1.5687771847906073,3,16598
2189,False,53.79422728862183,-1.5687771847906073,3,16598
2193,False,53.873022079449555,-1.6732901318250974,2,16628
2192,False,53.873022079449555,-1.6732901318250974,2,16628
2195,False,53.752117172366894,-1.6022991007203444,4,16648
2190,True,53.77640168758372,-1.4715721479889539,3,16648
2191,False,53.77640168758372,-1.4715721479889539,3,16648
2197,False,53.84036017081782,-1.4613452684770507,3,16681
2194,True,53.796809524713225,-1.5404372353111866,3,16686
2198,True,53.75200003695614,-1.673683186308617,3,16689
2199,True,53.814303632473724,-1.5556616233271368,2,16692
2196,True,53.728451793456365,-1.465898325499371,3,16696
2200,True,53.75229976639312,-1.674833433585214,3,16734
2201,True,53.77531792943865,-1.587088332186744,3,16737
2203,False,53.806837451569045,-1.5840455593211105,5,16750
2202,True,53.806837451569045,-1.5840455593211105,6,16750
2205,False,53.80806660738829,-1.5808292508842792,3,16766
2204,True,53.75430784272754,-1.570323364199443,3,16769
2206,True,53.82039091628742,-1.556311195002163,2,16771
2207,True,53.75186895059438,-1.5311004845756622,3,16781
2223,False,53.81782509468493,-1.5852886565728144,3,16791
2208,True,53.77269517435957,-1.5476951767011686,3,16821
2209,False,53.77269517435957,-1.5476951767011686,3,16821
2160,True,53.7967250781912,-1.3868315181943232,3,16831
2210,True,53.862250072846415,-1.3463252224037572,5,16836
2211,False,53.862250072846415,-1.3463252224037572,5,16836
2212,True,53.74511085162545,-1.5199854911012634,4,16842
2213,True,53.76619937075082,-1.580563441368843,3,16858
2214,True,53.722776122800056,-1.4298712746007562,11,16861
2215,False,53.722776122800056,-1.4298712746007562,11,16861
2216,True,53.844127881811694,-1.546606876810479,3,16864
2221,False,53.79628919913072,-1.5313948578655028,2,16864
2217,True,53.73023213269801,-1.4031537197349657,3,16865
2218,True,53.81483924743075,-1.5595440899610273,3,16882
2219,True,53.8014106475753,-1.5569669608143502,2,16883
2220,False,53.8014106475753,-1.5569669608143502,2,16883
2228,False,53.80075516767451,-1.5404093025589343,2,16883
2222,True,53.81653041434931,-1.567348502346415,3,16886
2243,False,53.82488865367414,-1.5359069003492405,3,16912
2224,True,53.84344048422433,-1.5574963216631463,3,16918
2225,True,53.80431807267369,-1.6387183024454182,3,16920
2226,True,53.83723911241564,-1.4729951746629706,3,16925
2227,True,53.83681773086463,-1.504912061791039,3,16928
2229,True,53.74693598836479,-1.4791899402636912,3,16930
2230,False,53.90220203151945,-1.7030605302843609,2,16930
2231,True,53.75040270886006,-1.634070198238271,3,16934
2232,True,53.796217396959825,-1.5623654690652051,4,16966
2233,False,53.7324607638894,-1.3544939421476903,2,16966
2234,True,53.775486551620006,-1.5761615588830205,4,16969
2235,True,53.85155236977044,-1.5212469171359928,3,16971
2237,False,53.85155236977044,-1.5212469171359928,3,16971
2236,False,53.85155236977044,-1.5212469171359928,3,16971
2238,True,53.802684304945224,-1.5442600418165446,2,16972
2239,True,53.79425208259943,-1.5438808050204162,2,16989
2240,True,53.744900179632964,-1.5419587678909996,4,17016
